USAF,NCDC,Date,HrMn,I,Type,QCP,Dir,Q,I,Spd,Q,Temp,Q,Dewpt,Q,Slp,Q,RHx,
419920,99999,20121121,1200,4,FM-12,    ,999,9,C,  0.0,1,  27.8,1,  23.0,1,1010.4,1, 75,
419920,99999,20121121,1800,4,FM-12,    ,999,9,C,  0.0,1,  24.8,1,  24.5,1,1011.4,1, 98,
419920,99999,20121122,0000,4,FM-12,    ,999,9,C,  0.0,1,  24.0,1,  21.0,1,1010.2,1, 83,
419920,99999,20121122,0600,4,FM-12,    ,060,1,N,  5.1,1,  29.0,1,  15.0,1,1011.2,1, 43,
419920,99999,20121122,1200,4,FM-12,    ,330,1,N,  1.5,1,  26.7,1,  19.0,1,1009.8,1, 63,
419920,99999,20121122,1800,4,FM-12,    ,360,1,N,  1.0,1,  23.0,1,  19.0,1,1011.3,1, 78,
419920,99999,20121123,0000,4,FM-12,    ,030,1,N,  1.0,1,  20.5,1,  15.0,1,1011.1,1, 71,
419920,99999,20121123,0600,4,FM-12,    ,360,1,N,  2.6,1,  28.0,1,  11.0,1,1011.3,1, 35,
419920,99999,20121123,1200,4,FM-12,    ,360,1,N,  2.1,1,  24.2,1,  18.0,1,1010.0,1, 68,
419920,99999,20121123,1800,4,FM-12,    ,020,1,N,  1.0,1,  20.8,1,  17.0,1,1011.2,1, 79,
419920,99999,20121124,0000,4,FM-12,    ,020,1,N,  1.0,1,  18.5,1,  17.0,1,1010.7,1, 91,
419920,99999,20121124,0600,4,FM-12,    ,030,1,N,  2.6,1,  28.0,1,  12.0,1,1011.3,1, 37,
419920,99999,20121124,1200,4,FM-12,    ,360,1,N,  1.5,1,  23.5,1,  17.0,1,1009.0,1, 67,
419920,99999,20121124,1800,4,FM-12,    ,999,9,C,  0.0,1,  19.6,1,  17.0,1,1012.0,1, 85,
419920,99999,20121125,0000,4,FM-12,    ,999,9,C,  0.0,1,  17.7,1,  16.0,1,1011.8,1, 90,
419920,99999,20121125,0600,4,FM-12,    ,030,1,N,  4.1,1,  27.4,1,   8.0,1,1012.7,1, 29,
419920,99999,20121125,1200,4,FM-12,    ,999,9,C,  0.0,1,  23.0,1,  17.0,1,1010.8,1, 69,
419920,99999,20121126,0000,4,FM-12,    ,999,9,C,  0.0,1,  17.5,1,  15.0,1,1012.1,1, 85,
419920,99999,20121126,0600,4,FM-12,    ,040,1,N,  3.1,1,  26.8,1,  12.0,1,1012.7,1, 40,
419920,99999,20121126,1200,4,FM-12,    ,030,1,N,  1.5,1,  23.3,1,  15.0,1,1009.9,1, 60,
419920,99999,20121126,1800,4,FM-12,    ,999,9,C,  0.0,1,  18.5,1,  16.0,1,1012.1,1, 85,
419920,99999,20121126,2100,4,FM-12,    ,999,9,C,  0.0,1,  18.0,1,  15.0,1,1011.3,1, 83,
419920,99999,20121127,0000,4,FM-12,    ,999,9,C,  0.0,1,  16.2,1,  14.0,1,1011.5,1, 87,
419920,99999,20121127,0600,4,FM-12,    ,030,1,N,  5.1,1,  26.8,1,  10.0,1,1012.4,1, 35,
419920,99999,20121127,1200,4,FM-12,    ,360,1,N,  1.0,1,  22.9,1,  16.0,1,1008.9,1, 65,
419920,99999,20121127,1800,4,FM-12,    ,050,1,N,  1.0,1,  19.2,1,  15.0,1,1011.9,1, 77,
419920,99999,20121128,0000,4,FM-12,    ,040,1,N,  1.0,1,  17.5,1,  15.0,1,1011.2,1, 85,
419920,99999,20121128,0600,4,FM-12,    ,020,1,N,  2.6,1,  27.0,1,  14.0,1,1011.7,1, 45,
